cell (0,1);cell (2,1);cell (3,1);cell (4,1);cell (5,1);cell (6,1);cell (7,1);cell (8,1);cell (9,1);cell (10,1);cell (11,1);cell (12,1);cell (13,1);cell (14,1);cell (15,1);cell (16,1);cell (17,1);cell (18,1);cell (19,1);cell (20,1);cell (21,1);cell (22,1);cell (23,1);cell (24,1);cell (25,1);cell (26,1);cell (27,1);cell (28,1);cell (29,1);cell (30,1);cell (31,1);cell (32,1);cell (33,1);cell (34,1);cell (35,1);cell (36,1);cell (37,1);cell (38,1);cell (39,1);cell (40,1);cell (41,1);cell (42,1);cell (43,1);cell (44,1);cell (45,1);cell (46,1);cell (47,1);cell (48,1);cell (49,1);cell (50,1);cell (51,1);cell (52,1);cell (53,1);cell (54,1);cell (55,1);cell (56,1);cell (57,1);cell (58,1);cell (59,1);cell (60,1);cell (61,1);cell (62,1);cell (63,1);cell (64,1);cell (65,1);cell (66,1);cell (67,1);cell (68,1);cell (69,1);cell (70,1);cell (71,1);cell (72,1);cell (73,1);cell (74,1);cell (75,1);cell (76,1);cell (77,1);cell (78,1);cell (79,1);cell (80,1);cell (81,1);cell (82,1);cell (83,1);cell (84,1);cell (85,1);cell (86,1);cell (87,1);cell (88,1);cell (89,1);cell (90,1);cell (91,1);cell (92,1);cell (93,1);cell (94,1);cell (95,1);cell (96,1);cell (97,1);cell (98,1);cell (99,1);cell (100,1)
cell (0,48);cell (2,48);cell (3,48);cell (4,48);cell (5,48);cell (6,48);cell (7,48);cell (8,48);cell (9,48);cell (10,48);cell (11,48);cell (12,48);cell (13,48);cell (14,48);cell (15,48);cell (16,48);cell (17,48);cell (18,48);cell (19,48);cell (20,48);cell (21,48);cell (22,48);cell (23,48);cell (24,48);cell (25,48);cell (26,48);cell (27,48);cell (28,48);cell (29,48);cell (30,48);cell (31,48);cell (32,48);cell (33,48);cell (34,48);cell (35,48);cell (36,48);cell (37,48);cell (38,48);cell (39,48);cell (40,48);cell (41,48);cell (42,48);cell (43,48);cell (44,48);cell (45,48);cell (46,48);cell (47,48);cell (48,48);cell (49,48);cell (50,48);cell (51,48);cell (52,48);cell (53,48);cell (54,48);cell (55,48);cell (56,48);cell (57,48);cell (58,48);cell (59,48);cell (60,48);cell (61,48);cell (62,48);cell (63,48);cell (64,48);cell (65,48);cell (66,48);cell (67,48);cell (68,48);cell (69,48);cell (70,48);cell (71,48);cell (72,48);cell (73,48);cell (74,48);cell (75,48);cell (76,48);cell (77,48);cell (78,48);cell (79,48);cell (80,48);cell (81,48);cell (82,48);cell (83,48);cell (84,48);cell (85,48);cell (86,48);cell (87,48);cell (88,48);cell (89,48);cell (90,48);cell (91,48);cell (92,48);cell (93,48);cell (94,48);cell (95,48);cell (96,48);cell (97,48);cell (98,48);cell (99,48);cell (100,48)
cell (0,49);cell (2,49);cell (3,49);cell (4,49);cell (5,49);cell (6,49);cell (7,49);cell (8,49);cell (9,49);cell (10,49);cell (11,49);cell (12,49);cell (13,49);cell (14,49);cell (15,49);cell (16,49);cell (17,49);cell (18,49);cell (19,49);cell (20,49);cell (21,49);cell (22,49);cell (23,49);cell (24,49);cell (25,49);cell (26,49);cell (27,49);cell (28,49);cell (29,49);cell (30,49);cell (31,49);cell (32,49);cell (33,49);cell (34,49);cell (35,49);cell (36,49);cell (37,49);cell (38,49);cell (39,49);cell (40,49);cell (41,49);cell (42,49);cell (43,49);cell (44,49);cell (45,49);cell (46,49);cell (47,49);cell (48,49);cell (49,49);cell (50,49);cell (51,49);cell (52,49);cell (53,49);cell (54,49);cell (55,49);cell (56,49);cell (57,49);cell (58,49);cell (59,49);cell (60,49);cell (61,49);cell (62,49);cell (63,49);cell (64,49);cell (65,49);cell (66,49);cell (67,49);cell (68,49);cell (69,49);cell (70,49);cell (71,49);cell (72,49);cell (73,49);cell (74,49);cell (75,49);cell (76,49);cell (77,49);cell (78,49);cell (79,49);cell (80,49);cell (81,49);cell (82,49);cell (83,49);cell (84,49);cell (85,49);cell (86,49);cell (87,49);cell (88,49);cell (89,49);cell (90,49);cell (91,49);cell (92,49);cell (93,49);cell (94,49);cell (95,49);cell (96,49);cell (97,49);cell (98,49);cell (99,49);cell (100,49)
cell (0,50);cell (2,50);cell (3,50);cell (4,50);cell (5,50);cell (6,50);cell (7,50);cell (8,50);cell (9,50);cell (10,50);cell (11,50);cell (12,50);cell (13,50);cell (14,50);cell (15,50);cell (16,50);cell (17,50);cell (18,50);cell (19,50);cell (20,50);cell (21,50);cell (22,50);cell (23,50);cell (24,50);cell (25,50);cell (26,50);cell (27,50);cell (28,50);cell (29,50);cell (30,50);cell (31,50);cell (32,50);cell (33,50);cell (34,50);cell (35,50);cell (36,50);cell (37,50);cell (38,50);cell (39,50);cell (40,50);cell (41,50);cell (42,50);cell (43,50);cell (44,50);cell (45,50);cell (46,50);cell (47,50);cell (48,50);cell (49,50);cell (50,50);cell (51,50);cell (52,50);cell (53,50);cell (54,50);cell (55,50);cell (56,50);cell (57,50);cell (58,50);cell (59,50);cell (60,50);cell (61,50);cell (62,50);cell (63,50);cell (64,50);cell (65,50);cell (66,50);cell (67,50);cell (68,50);cell (69,50);cell (70,50);cell (71,50);cell (72,50);cell (73,50);cell (74,50);cell (75,50);cell (76,50);cell (77,50);cell (78,50);cell (79,50);cell (80,50);cell (81,50);cell (82,50);cell (83,50);cell (84,50);cell (85,50);cell (86,50);cell (87,50);cell (88,50);cell (89,50);cell (90,50);cell (91,50);cell (92,50);cell (93,50);cell (94,50);cell (95,50);cell (96,50);cell (97,50);cell (98,50);cell (99,50);cell (100,50)
cell (0,51);cell (2,51);cell (3,51);cell (4,51);cell (5,51);cell (6,51);cell (7,51);cell (8,51);cell (9,51);cell (10,51);cell (11,51);cell (12,51);cell (13,51);cell (14,51);cell (15,51);cell (16,51);cell (17,51);cell (18,51);cell (19,51);cell (20,51);cell (21,51);cell (22,51);cell (23,51);cell (24,51);cell (25,51);cell (26,51);cell (27,51);cell (28,51);cell (29,51);cell (30,51);cell (31,51);cell (32,51);cell (33,51);cell (34,51);cell (35,51);cell (36,51);cell (37,51);cell (38,51);cell (39,51);cell (40,51);cell (41,51);cell (42,51);cell (43,51);cell (44,51);cell (45,51);cell (46,51);cell (47,51);cell (48,51);cell (49,51);cell (50,51);cell (51,51);cell (52,51);cell (53,51);cell (54,51);cell (55,51);cell (56,51);cell (57,51);cell (58,51);cell (59,51);cell (60,51);cell (61,51);cell (62,51);cell (63,51);cell (64,51);cell (65,51);cell (66,51);cell (67,51);cell (68,51);cell (69,51);cell (70,51);cell (71,51);cell (72,51);cell (73,51);cell (74,51);cell (75,51);cell (76,51);cell (77,51);cell (78,51);cell (79,51);cell (80,51);cell (81,51);cell (82,51);cell (83,51);cell (84,51);cell (85,51);cell (86,51);cell (87,51);cell (88,51);cell (89,51);cell (90,51);cell (91,51);cell (92,51);cell (93,51);cell (94,51);cell (95,51);cell (96,51);cell (97,51);cell (98,51);cell (99,51);cell (100,51)
cell (0,52);cell (2,52);cell (3,52);cell (4,52);cell (5,52);cell (6,52);cell (7,52);cell (8,52);cell (9,52);cell (10,52);cell (11,52);cell (12,52);cell (13,52);cell (14,52);cell (15,52);cell (16,52);cell (17,52);cell (18,52);cell (19,52);cell (20,52);cell (21,52);cell (22,52);cell (23,52);cell (24,52);cell (25,52);cell (26,52);cell (27,52);cell (28,52);cell (29,52);cell (30,52);cell (31,52);cell (32,52);cell (33,52);cell (34,52);cell (35,52);cell (36,52);cell (37,52);cell (38,52);cell (39,52);cell (40,52);cell (41,52);cell (42,52);cell (43,52);cell (44,52);cell (45,52);cell (46,52);cell (47,52);cell (48,52);cell (49,52);cell (50,52);cell (51,52);cell (52,52);cell (53,52);cell (54,52);cell (55,52);cell (56,52);cell (57,52);cell (58,52);cell (59,52);cell (60,52);cell (61,52);cell (62,52);cell (63,52);cell (64,52);cell (65,52);cell (66,52);cell (67,52);cell (68,52);cell (69,52);cell (70,52);cell (71,52);cell (72,52);cell (73,52);cell (74,52);cell (75,52);cell (76,52);cell (77,52);cell (78,52);cell (79,52);cell (80,52);cell (81,52);cell (82,52);cell (83,52);cell (84,52);cell (85,52);cell (86,52);cell (87,52);cell (88,52);cell (89,52);cell (90,52);cell (91,52);cell (92,52);cell (93,52);cell (94,52);cell (95,52);cell (96,52);cell (97,52);cell (98,52);cell (99,52);cell (100,52)
cell (0,53);cell (2,53);cell (3,53);cell (4,53);cell (5,53);cell (6,53);cell (7,53);cell (8,53);cell (9,53);cell (10,53);cell (11,53);cell (12,53);cell (13,53);cell (14,53);cell (15,53);cell (16,53);cell (17,53);cell (18,53);cell (19,53);cell (20,53);cell (21,53);cell (22,53);cell (23,53);cell (24,53);cell (25,53);cell (26,53);cell (27,53);cell (28,53);cell (29,53);cell (30,53);cell (31,53);cell (32,53);cell (33,53);cell (34,53);cell (35,53);cell (36,53);cell (37,53);cell (38,53);cell (39,53);cell (40,53);cell (41,53);cell (42,53);cell (43,53);cell (44,53);cell (45,53);cell (46,53);cell (47,53);cell (48,53);cell (49,53);cell (50,53);cell (51,53);cell (52,53);cell (53,53);cell (54,53);cell (55,53);cell (56,53);cell (57,53);cell (58,53);cell (59,53);cell (60,53);cell (61,53);cell (62,53);cell (63,53);cell (64,53);cell (65,53);cell (66,53);cell (67,53);cell (68,53);cell (69,53);cell (70,53);cell (71,53);cell (72,53);cell (73,53);cell (74,53);cell (75,53);cell (76,53);cell (77,53);cell (78,53);cell (79,53);cell (80,53);cell (81,53);cell (82,53);cell (83,53);cell (84,53);cell (85,53);cell (86,53);cell (87,53);cell (88,53);cell (89,53);cell (90,53);cell (91,53);cell (92,53);cell (93,53);cell (94,53);cell (95,53);cell (96,53);cell (97,53);cell (98,53);cell (99,53);cell (100,53)
cell (0,54);cell (2,54);cell (3,54);cell (4,54);cell (5,54);cell (6,54);cell (7,54);cell (8,54);cell (9,54);cell (10,54);cell (11,54);cell (12,54);cell (13,54);cell (14,54);cell (15,54);cell (16,54);cell (17,54);cell (18,54);cell (19,54);cell (20,54);cell (21,54);cell (22,54);cell (23,54);cell (24,54);cell (25,54);cell (26,54);cell (27,54);cell (28,54);cell (29,54);cell (30,54);cell (31,54);cell (32,54);cell (33,54);cell (34,54);cell (35,54);cell (36,54);cell (37,54);cell (38,54);cell (39,54);cell (40,54);cell (41,54);cell (42,54);cell (43,54);cell (44,54);cell (45,54);cell (46,54);cell (47,54);cell (48,54);cell (49,54);cell (50,54);cell (51,54);cell (52,54);cell (53,54);cell (54,54);cell (55,54);cell (56,54);cell (57,54);cell (58,54);cell (59,54);cell (60,54);cell (61,54);cell (62,54);cell (63,54);cell (64,54);cell (65,54);cell (66,54);cell (67,54);cell (68,54);cell (69,54);cell (70,54);cell (71,54);cell (72,54);cell (73,54);cell (74,54);cell (75,54);cell (76,54);cell (77,54);cell (78,54);cell (79,54);cell (80,54);cell (81,54);cell (82,54);cell (83,54);cell (84,54);cell (85,54);cell (86,54);cell (87,54);cell (88,54);cell (89,54);cell (90,54);cell (91,54);cell (92,54);cell (93,54);cell (94,54);cell (95,54);cell (96,54);cell (97,54);cell (98,54);cell (99,54);cell (100,54)
cell (0,55);cell (2,55);cell (3,55);cell (4,55);cell (5,55);cell (6,55);cell (7,55);cell (8,55);cell (9,55);cell (10,55);cell (11,55);cell (12,55);cell (13,55);cell (14,55);cell (15,55);cell (16,55);cell (17,55);cell (18,55);cell (19,55);cell (20,55);cell (21,55);cell (22,55);cell (23,55);cell (24,55);cell (25,55);cell (26,55);cell (27,55);cell (28,55);cell (29,55);cell (30,55);cell (31,55);cell (32,55);cell (33,55);cell (34,55);cell (35,55);cell (36,55);cell (37,55);cell (38,55);cell (39,55);cell (40,55);cell (41,55);cell (42,55);cell (43,55);cell (44,55);cell (45,55);cell (46,55);cell (47,55);cell (48,55);cell (49,55);cell (50,55);cell (51,55);cell (52,55);cell (53,55);cell (54,55);cell (55,55);cell (56,55);cell (57,55);cell (58,55);cell (59,55);cell (60,55);cell (61,55);cell (62,55);cell (63,55);cell (64,55);cell (65,55);cell (66,55);cell (67,55);cell (68,55);cell (69,55);cell (70,55);cell (71,55);cell (72,55);cell (73,55);cell (74,55);cell (75,55);cell (76,55);cell (77,55);cell (78,55);cell (79,55);cell (80,55);cell (81,55);cell (82,55);cell (83,55);cell (84,55);cell (85,55);cell (86,55);cell (87,55);cell (88,55);cell (89,55);cell (90,55);cell (91,55);cell (92,55);cell (93,55);cell (94,55);cell (95,55);cell (96,55);cell (97,55);cell (98,55);cell (99,55);cell (100,55)
cell (0,56);cell (2,56);cell (3,56);cell (4,56);cell (5,56);cell (6,56);cell (7,56);cell (8,56);cell (9,56);cell (10,56);cell (11,56);cell (12,56);cell (13,56);cell (14,56);cell (15,56);cell (16,56);cell (17,56);cell (18,56);cell (19,56);cell (20,56);cell (21,56);cell (22,56);cell (23,56);cell (24,56);cell (25,56);cell (26,56);cell (27,56);cell (28,56);cell (29,56);cell (30,56);cell (31,56);cell (32,56);cell (33,56);cell (34,56);cell (35,56);cell (36,56);cell (37,56);cell (38,56);cell (39,56);cell (40,56);cell (41,56);cell (42,56);cell (43,56);cell (44,56);cell (45,56);cell (46,56);cell (47,56);cell (48,56);cell (49,56);cell (50,56);cell (51,56);cell (52,56);cell (53,56);cell (54,56);cell (55,56);cell (56,56);cell (57,56);cell (58,56);cell (59,56);cell (60,56);cell (61,56);cell (62,56);cell (63,56);cell (64,56);cell (65,56);cell (66,56);cell (67,56);cell (68,56);cell (69,56);cell (70,56);cell (71,56);cell (72,56);cell (73,56);cell (74,56);cell (75,56);cell (76,56);cell (77,56);cell (78,56);cell (79,56);cell (80,56);cell (81,56);cell (82,56);cell (83,56);cell (84,56);cell (85,56);cell (86,56);cell (87,56);cell (88,56);cell (89,56);cell (90,56);cell (91,56);cell (92,56);cell (93,56);cell (94,56);cell (95,56);cell (96,56);cell (97,56);cell (98,56);cell (99,56);cell (100,56)
cell (0,57);cell (2,57);cell (3,57);cell (4,57);cell (5,57);cell (6,57);cell (7,57);cell (8,57);cell (9,57);cell (10,57);cell (11,57);cell (12,57);cell (13,57);cell (14,57);cell (15,57);cell (16,57);cell (17,57);cell (18,57);cell (19,57);cell (20,57);cell (21,57);cell (22,57);cell (23,57);cell (24,57);cell (25,57);cell (26,57);cell (27,57);cell (28,57);cell (29,57);cell (30,57);cell (31,57);cell (32,57);cell (33,57);cell (34,57);cell (35,57);cell (36,57);cell (37,57);cell (38,57);cell (39,57);cell (40,57);cell (41,57);cell (42,57);cell (43,57);cell (44,57);cell (45,57);cell (46,57);cell (47,57);cell (48,57);cell (49,57);cell (50,57);cell (51,57);cell (52,57);cell (53,57);cell (54,57);cell (55,57);cell (56,57);cell (57,57);cell (58,57);cell (59,57);cell (60,57);cell (61,57);cell (62,57);cell (63,57);cell (64,57);cell (65,57);cell (66,57);cell (67,57);cell (68,57);cell (69,57);cell (70,57);cell (71,57);cell (72,57);cell (73,57);cell (74,57);cell (75,57);cell (76,57);cell (77,57);cell (78,57);cell (79,57);cell (80,57);cell (81,57);cell (82,57);cell (83,57);cell (84,57);cell (85,57);cell (86,57);cell (87,57);cell (88,57);cell (89,57);cell (90,57);cell (91,57);cell (92,57);cell (93,57);cell (94,57);cell (95,57);cell (96,57);cell (97,57);cell (98,57);cell (99,57);cell (100,57)
cell (0,58);cell (2,58);cell (3,58);cell (4,58);cell (5,58);cell (6,58);cell (7,58);cell (8,58);cell (9,58);cell (10,58);cell (11,58);cell (12,58);cell (13,58);cell (14,58);cell (15,58);cell (16,58);cell (17,58);cell (18,58);cell (19,58);cell (20,58);cell (21,58);cell (22,58);cell (23,58);cell (24,58);cell (25,58);cell (26,58);cell (27,58);cell (28,58);cell (29,58);cell (30,58);cell (31,58);cell (32,58);cell (33,58);cell (34,58);cell (35,58);cell (36,58);cell (37,58);cell (38,58);cell (39,58);cell (40,58);cell (41,58);cell (42,58);cell (43,58);cell (44,58);cell (45,58);cell (46,58);cell (47,58);cell (48,58);cell (49,58);cell (50,58);cell (51,58);cell (52,58);cell (53,58);cell (54,58);cell (55,58);cell (56,58);cell (57,58);cell (58,58);cell (59,58);cell (60,58);cell (61,58);cell (62,58);cell (63,58);cell (64,58);cell (65,58);cell (66,58);cell (67,58);cell (68,58);cell (69,58);cell (70,58);cell (71,58);cell (72,58);cell (73,58);cell (74,58);cell (75,58);cell (76,58);cell (77,58);cell (78,58);cell (79,58);cell (80,58);cell (81,58);cell (82,58);cell (83,58);cell (84,58);cell (85,58);cell (86,58);cell (87,58);cell (88,58);cell (89,58);cell (90,58);cell (91,58);cell (92,58);cell (93,58);cell (94,58);cell (95,58);cell (96,58);cell (97,58);cell (98,58);cell (99,58);cell (100,58)
cell (0,59);cell (2,59);cell (3,59);cell (4,59);cell (5,59);cell (6,59);cell (7,59);cell (8,59);cell (9,59);cell (10,59);cell (11,59);cell (12,59);cell (13,59);cell (14,59);cell (15,59);cell (16,59);cell (17,59);cell (18,59);cell (19,59);cell (20,59);cell (21,59);cell (22,59);cell (23,59);cell (24,59);cell (25,59);cell (26,59);cell (27,59);cell (28,59);cell (29,59);cell (30,59);cell (31,59);cell (32,59);cell (33,59);cell (34,59);cell (35,59);cell (36,59);cell (37,59);cell (38,59);cell (39,59);cell (40,59);cell (41,59);cell (42,59);cell (43,59);cell (44,59);cell (45,59);cell (46,59);cell (47,59);cell (48,59);cell (49,59);cell (50,59);cell (51,59);cell (52,59);cell (53,59);cell (54,59);cell (55,59);cell (56,59);cell (57,59);cell (58,59);cell (59,59);cell (60,59);cell (61,59);cell (62,59);cell (63,59);cell (64,59);cell (65,59);cell (66,59);cell (67,59);cell (68,59);cell (69,59);cell (70,59);cell (71,59);cell (72,59);cell (73,59);cell (74,59);cell (75,59);cell (76,59);cell (77,59);cell (78,59);cell (79,59);cell (80,59);cell (81,59);cell (82,59);cell (83,59);cell (84,59);cell (85,59);cell (86,59);cell (87,59);cell (88,59);cell (89,59);cell (90,59);cell (91,59);cell (92,59);cell (93,59);cell (94,59);cell (95,59);cell (96,59);cell (97,59);cell (98,59);cell (99,59);cell (100,59)
cell (0,60);cell (2,60);cell (3,60);cell (4,60);cell (5,60);cell (6,60);cell (7,60);cell (8,60);cell (9,60);cell (10,60);cell (11,60);cell (12,60);cell (13,60);cell (14,60);cell (15,60);cell (16,60);cell (17,60);cell (18,60);cell (19,60);cell (20,60);cell (21,60);cell (22,60);cell (23,60);cell (24,60);cell (25,60);cell (26,60);cell (27,60);cell (28,60);cell (29,60);cell (30,60);cell (31,60);cell (32,60);cell (33,60);cell (34,60);cell (35,60);cell (36,60);cell (37,60);cell (38,60);cell (39,60);cell (40,60);cell (41,60);cell (42,60);cell (43,60);cell (44,60);cell (45,60);cell (46,60);cell (47,60);cell (48,60);cell (49,60);cell (50,60);cell (51,60);cell (52,60);cell (53,60);cell (54,60);cell (55,60);cell (56,60);cell (57,60);cell (58,60);cell (59,60);cell (60,60);cell (61,60);cell (62,60);cell (63,60);cell (64,60);cell (65,60);cell (66,60);cell (67,60);cell (68,60);cell (69,60);cell (70,60);cell (71,60);cell (72,60);cell (73,60);cell (74,60);cell (75,60);cell (76,60);cell (77,60);cell (78,60);cell (79,60);cell (80,60);cell (81,60);cell (82,60);cell (83,60);cell (84,60);cell (85,60);cell (86,60);cell (87,60);cell (88,60);cell (89,60);cell (90,60);cell (91,60);cell (92,60);cell (93,60);cell (94,60);cell (95,60);cell (96,60);cell (97,60);cell (98,60);cell (99,60);cell (100,60)
cell (0,61);cell (2,61);cell (3,61);cell (4,61);cell (5,61);cell (6,61);cell (7,61);cell (8,61);cell (9,61);cell (10,61);cell (11,61);cell (12,61);cell (13,61);cell (14,61);cell (15,61);cell (16,61);cell (17,61);cell (18,61);cell (19,61);cell (20,61);cell (21,61);cell (22,61);cell (23,61);cell (24,61);cell (25,61);cell (26,61);cell (27,61);cell (28,61);cell (29,61);cell (30,61);cell (31,61);cell (32,61);cell (33,61);cell (34,61);cell (35,61);cell (36,61);cell (37,61);cell (38,61);cell (39,61);cell (40,61);cell (41,61);cell (42,61);cell (43,61);cell (44,61);cell (45,61);cell (46,61);cell (47,61);cell (48,61);cell (49,61);cell (50,61);cell (51,61);cell (52,61);cell (53,61);cell (54,61);cell (55,61);cell (56,61);cell (57,61);cell (58,61);cell (59,61);cell (60,61);cell (61,61);cell (62,61);cell (63,61);cell (64,61);cell (65,61);cell (66,61);cell (67,61);cell (68,61);cell (69,61);cell (70,61);cell (71,61);cell (72,61);cell (73,61);cell (74,61);cell (75,61);cell (76,61);cell (77,61);cell (78,61);cell (79,61);cell (80,61);cell (81,61);cell (82,61);cell (83,61);cell (84,61);cell (85,61);cell (86,61);cell (87,61);cell (88,61);cell (89,61);cell (90,61);cell (91,61);cell (92,61);cell (93,61);cell (94,61);cell (95,61);cell (96,61);cell (97,61);cell (98,61);cell (99,61);cell (100,61)
cell (0,62);cell (2,62);cell (3,62);cell (4,62);cell (5,62);cell (6,62);cell (7,62);cell (8,62);cell (9,62);cell (10,62);cell (11,62);cell (12,62);cell (13,62);cell (14,62);cell (15,62);cell (16,62);cell (17,62);cell (18,62);cell (19,62);cell (20,62);cell (21,62);cell (22,62);cell (23,62);cell (24,62);cell (25,62);cell (26,62);cell (27,62);cell (28,62);cell (29,62);cell (30,62);cell (31,62);cell (32,62);cell (33,62);cell (34,62);cell (35,62);cell (36,62);cell (37,62);cell (38,62);cell (39,62);cell (40,62);cell (41,62);cell (42,62);cell (43,62);cell (44,62);cell (45,62);cell (46,62);cell (47,62);cell (48,62);cell (49,62);cell (50,62);cell (51,62);cell (52,62);cell (53,62);cell (54,62);cell (55,62);cell (56,62);cell (57,62);cell (58,62);cell (59,62);cell (60,62);cell (61,62);cell (62,62);cell (63,62);cell (64,62);cell (65,62);cell (66,62);cell (67,62);cell (68,62);cell (69,62);cell (70,62);cell (71,62);cell (72,62);cell (73,62);cell (74,62);cell (75,62);cell (76,62);cell (77,62);cell (78,62);cell (79,62);cell (80,62);cell (81,62);cell (82,62);cell (83,62);cell (84,62);cell (85,62);cell (86,62);cell (87,62);cell (88,62);cell (89,62);cell (90,62);cell (91,62);cell (92,62);cell (93,62);cell (94,62);cell (95,62);cell (96,62);cell (97,62);cell (98,62);cell (99,62);cell (100,62)
cell (0,63);cell (2,63);cell (3,63);cell (4,63);cell (5,63);cell (6,63);cell (7,63);cell (8,63);cell (9,63);cell (10,63);cell (11,63);cell (12,63);cell (13,63);cell (14,63);cell (15,63);cell (16,63);cell (17,63);cell (18,63);cell (19,63);cell (20,63);cell (21,63);cell (22,63);cell (23,63);cell (24,63);cell (25,63);cell (26,63);cell (27,63);cell (28,63);cell (29,63);cell (30,63);cell (31,63);cell (32,63);cell (33,63);cell (34,63);cell (35,63);cell (36,63);cell (37,63);cell (38,63);cell (39,63);cell (40,63);cell (41,63);cell (42,63);cell (43,63);cell (44,63);cell (45,63);cell (46,63);cell (47,63);cell (48,63);cell (49,63);cell (50,63);cell (51,63);cell (52,63);cell (53,63);cell (54,63);cell (55,63);cell (56,63);cell (57,63);cell (58,63);cell (59,63);cell (60,63);cell (61,63);cell (62,63);cell (63,63);cell (64,63);cell (65,63);cell (66,63);cell (67,63);cell (68,63);cell (69,63);cell (70,63);cell (71,63);cell (72,63);cell (73,63);cell (74,63);cell (75,63);cell (76,63);cell (77,63);cell (78,63);cell (79,63);cell (80,63);cell (81,63);cell (82,63);cell (83,63);cell (84,63);cell (85,63);cell (86,63);cell (87,63);cell (88,63);cell (89,63);cell (90,63);cell (91,63);cell (92,63);cell (93,63);cell (94,63);cell (95,63);cell (96,63);cell (97,63);cell (98,63);cell (99,63);cell (100,63)
cell (0,64);cell (2,64);cell (3,64);cell (4,64);cell (5,64);cell (6,64);cell (7,64);cell (8,64);cell (9,64);cell (10,64);cell (11,64);cell (12,64);cell (13,64);cell (14,64);cell (15,64);cell (16,64);cell (17,64);cell (18,64);cell (19,64);cell (20,64);cell (21,64);cell (22,64);cell (23,64);cell (24,64);cell (25,64);cell (26,64);cell (27,64);cell (28,64);cell (29,64);cell (30,64);cell (31,64);cell (32,64);cell (33,64);cell (34,64);cell (35,64);cell (36,64);cell (37,64);cell (38,64);cell (39,64);cell (40,64);cell (41,64);cell (42,64);cell (43,64);cell (44,64);cell (45,64);cell (46,64);cell (47,64);cell (48,64);cell (49,64);cell (50,64);cell (51,64);cell (52,64);cell (53,64);cell (54,64);cell (55,64);cell (56,64);cell (57,64);cell (58,64);cell (59,64);cell (60,64);cell (61,64);cell (62,64);cell (63,64);cell (64,64);cell (65,64);cell (66,64);cell (67,64);cell (68,64);cell (69,64);cell (70,64);cell (71,64);cell (72,64);cell (73,64);cell (74,64);cell (75,64);cell (76,64);cell (77,64);cell (78,64);cell (79,64);cell (80,64);cell (81,64);cell (82,64);cell (83,64);cell (84,64);cell (85,64);cell (86,64);cell (87,64);cell (88,64);cell (89,64);cell (90,64);cell (91,64);cell (92,64);cell (93,64);cell (94,64);cell (95,64);cell (96,64);cell (97,64);cell (98,64);cell (99,64);cell (100,64)
cell (0,65);cell (2,65);cell (3,65);cell (4,65);cell (5,65);cell (6,65);cell (7,65);cell (8,65);cell (9,65);cell (10,65);cell (11,65);cell (12,65);cell (13,65);cell (14,65);cell (15,65);cell (16,65);cell (17,65);cell (18,65);cell (19,65);cell (20,65);cell (21,65);cell (22,65);cell (23,65);cell (24,65);cell (25,65);cell (26,65);cell (27,65);cell (28,65);cell (29,65);cell (30,65);cell (31,65);cell (32,65);cell (33,65);cell (34,65);cell (35,65);cell (36,65);cell (37,65);cell (38,65);cell (39,65);cell (40,65);cell (41,65);cell (42,65);cell (43,65);cell (44,65);cell (45,65);cell (46,65);cell (47,65);cell (48,65);cell (49,65);cell (50,65);cell (51,65);cell (52,65);cell (53,65);cell (54,65);cell (55,65);cell (56,65);cell (57,65);cell (58,65);cell (59,65);cell (60,65);cell (61,65);cell (62,65);cell (63,65);cell (64,65);cell (65,65);cell (66,65);cell (67,65);cell (68,65);cell (69,65);cell (70,65);cell (71,65);cell (72,65);cell (73,65);cell (74,65);cell (75,65);cell (76,65);cell (77,65);cell (78,65);cell (79,65);cell (80,65);cell (81,65);cell (82,65);cell (83,65);cell (84,65);cell (85,65);cell (86,65);cell (87,65);cell (88,65);cell (89,65);cell (90,65);cell (91,65);cell (92,65);cell (93,65);cell (94,65);cell (95,65);cell (96,65);cell (97,65);cell (98,65);cell (99,65);cell (100,65)
